Model Name,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),Cross-Val Accuracy,ROC-AUC
Logistic Regression,1.0,1.0,1.0,1.0,0.996590909090909,1.0
Random Forest,1.0,1.0,1.0,1.0,0.9988636363636363,1.0
Extra Trees,1.0,1.0,1.0,1.0,1.0,1.0
Support Vector Machine,1.0,1.0,1.0,1.0,0.997159090909091,1.0
CatBoost,1.0,1.0,1.0,1.0,0.9994318181818181,1.0
LightGBM,0.9931818181818182,0.9933982683982684,0.993181818181818,0.9931789754960487,0.9960227272727271,0.9999945887445887
XGBoost,0.9931818181818182,0.9933982683982684,0.993181818181818,0.9931789754960487,0.9926136363636363,1.0
Gradient Boosting,0.9931818181818182,0.9933982683982684,0.993181818181818,0.9931789754960487,0.996590909090909,0.9999945887445887
Decision Tree,0.9931818181818182,0.9935064935064936,0.993181818181818,0.993177554153164,0.99375,0.9964285714285716
Gaussian Naive Bayes,0.9886363636363636,0.9891118982028072,0.9886363636363636,0.9886121580601684,0.9852272727272726,0.9962418831168832
K-Nearest Neighbors,0.9772727272727273,0.9794175521448248,0.9772727272727273,0.9773661653052479,0.965909090909091,0.99866341991342
AdaBoost,0.2909090909090909,0.20118224773508278,0.29090909090909095,0.20626763238666831,0.2164772727272727,0.8896915584415584
